source_file,consensus_timestamp,to_address_hex,payer_account,csv_error,sender,receiver,result_data,result,transaction_id,lookup_source,child_error
direct_calls,1779083629279992473,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083622-878696395",mirror,
direct_calls,1779083618132700000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083611-349483923",mirror,
direct_calls,1779083606356485000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083598-940510730",mirror,
direct_calls,1779083594820081000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083590-180231043",mirror,
direct_calls,1779083583531233340,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083575-059123931",mirror,
direct_calls,1779083571962409041,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083563-731660742",mirror,
direct_calls,1779083560265119555,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083552-683018233",mirror,
direct_calls,1779083548977903000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083541-354060915",mirror,
direct_calls,1779083537415749831,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083530-452055538",mirror,
direct_calls,1779083526078180557,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083518-760944647",mirror,
direct_calls,1779083514453516464,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083506-361621198",mirror,
direct_calls,1779083502882620000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083494-714501392",mirror,
direct_calls,1779083491473601000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083483-933542330",mirror,
direct_calls,1779083479988888000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083476-401668038",mirror,
direct_calls,1779083468759825000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083462-731440773",mirror,
direct_calls,1779083457444281000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083451-810675492",mirror,
direct_calls,1779083445786039165,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083438-520604095",mirror,
direct_calls,1779083434027310000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083427-644156356",mirror,
direct_calls,1779083422684874000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083416-063586197",mirror,
direct_calls,1779083411045938000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083405-702021915",mirror,
direct_calls,1779083399819656344,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083392-171455463",mirror,
direct_calls,1779083388346659000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083381-083490493",mirror,
direct_calls,1779083376719447000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083368-400934104",mirror,
direct_calls,1779083365301835795,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083358-068868402",mirror,
direct_calls,1779083353753826000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083349-224052924",mirror,
direct_calls,1779083342365093000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083336-345771632",mirror,
direct_calls,1779083330746307272,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083324-128289822",mirror,
direct_calls,1779083319583086231,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083313-310150054",mirror,
direct_calls,1779083307770143000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083304-376126046",mirror,
direct_calls,1779083296358783869,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083288-014848268",mirror,
